Дата,Цена
2024-04-09 00:00:00+00:00,118.325
2024-04-10 00:00:00+00:00,118.7
2024-04-11 00:00:00+00:00,118.425
2024-04-12 00:00:00+00:00,119.3
2024-04-15 00:00:00+00:00,118.675
2024-04-16 00:00:00+00:00,118.575
2024-04-17 00:00:00+00:00,118.6
2024-04-18 00:00:00+00:00,119.125
2024-04-19 00:00:00+00:00,119.475
2024-04-22 00:00:00+00:00,120.475
2024-04-23 00:00:00+00:00,118.375
2024-04-24 00:00:00+00:00,116.975
2024-04-25 00:00:00+00:00,118.05
2024-04-26 00:00:00+00:00,117.65
2024-04-27 00:00:00+00:00,116.525
2024-04-29 00:00:00+00:00,117.475
2024-04-30 00:00:00+00:00,116.825
2024-05-02 00:00:00+00:00,116.125
2024-05-03 00:00:00+00:00,114.975
2024-05-06 00:00:00+00:00,115.0
2024-05-07 00:00:00+00:00,115.2
2024-05-08 00:00:00+00:00,115.225
2024-05-10 00:00:00+00:00,115.4
2022-05-13 00:00:00+00:00,93.25
2022-05-16 00:00:00+00:00,94.9
2022-05-17 00:00:00+00:00,96.65
2022-05-18 00:00:00+00:00,96.0
2022-05-19 00:00:00+00:00,95.85
2022-05-20 00:00:00+00:00,94.375
2022-05-23 00:00:00+00:00,92.85
2022-05-24 00:00:00+00:00,93.525
2022-05-25 00:00:00+00:00,94.05
2022-05-26 00:00:00+00:00,94.0
2022-05-27 00:00:00+00:00,93.0
2022-05-30 00:00:00+00:00,91.5
2022-05-31 00:00:00+00:00,91.55
2022-06-01 00:00:00+00:00,92.475
2022-06-02 00:00:00+00:00,89.675
2022-06-03 00:00:00+00:00,87.75
2022-06-06 00:00:00+00:00,87.075
2022-06-07 00:00:00+00:00,86.05
2022-06-08 00:00:00+00:00,86.7
2022-06-09 00:00:00+00:00,85.15
2022-06-10 00:00:00+00:00,85.0
2022-06-14 00:00:00+00:00,87.475
2022-06-15 00:00:00+00:00,88.0
2022-06-16 00:00:00+00:00,88.975
2022-06-17 00:00:00+00:00,89.5
2022-06-20 00:00:00+00:00,93.7
2022-06-21 00:00:00+00:00,91.025
2022-06-22 00:00:00+00:00,92.55
2022-06-23 00:00:00+00:00,92.925
2022-06-24 00:00:00+00:00,93.0
2022-06-27 00:00:00+00:00,95.5
2022-06-28 00:00:00+00:00,96.5
2022-06-29 00:00:00+00:00,93.525
2022-06-30 00:00:00+00:00,88.9
2022-07-01 00:00:00+00:00,87.525
2022-07-04 00:00:00+00:00,92.75
2022-07-05 00:00:00+00:00,93.925
2022-07-06 00:00:00+00:00,93.6
2022-07-07 00:00:00+00:00,93.675
2022-07-08 00:00:00+00:00,94.15
2022-07-11 00:00:00+00:00,91.625
2022-07-12 00:00:00+00:00,90.825
2022-07-13 00:00:00+00:00,89.425
2022-07-14 00:00:00+00:00,88.75
2022-07-15 00:00:00+00:00,89.925
2022-07-18 00:00:00+00:00,90.4
2022-07-19 00:00:00+00:00,92.025
2022-07-20 00:00:00+00:00,91.15
2022-07-21 00:00:00+00:00,90.9
2022-07-22 00:00:00+00:00,91.95
2022-07-25 00:00:00+00:00,92.55
